문제제목,입출력 예,자바파일
콜라 문제,"a | b | n | result
--- | --- | --- | ---
2 | 1 | 20 | 19
3 | 1 | 20 | 9","class Solution {
    public int solution(int a, int b, int n) {
        int answer = 0;
        return answer;
    }
}"
명예의 전당 (1),"k | score | result
--- | --- | ---
3 | [10, 100, 20, 150, 1, 100, 200] | [10, 10, 10, 20, 20, 100, 100]
4 | [0, 300, 40, 300, 20, 70, 150, 50, 500, 1000] | [0, 0, 0, 0, 20, 40, 70, 70, 150, 300]","class Solution {
    public int[] solution(int k, int[] score) {
        int[] answer = {};
        return answer;
    }
}"
[PCCE 기출문제] 1번 / 출력,,
문자열 내 마음대로 정렬하기,"strings | n | return
--- | --- | ---
[""sun"", ""bed"", ""car""] | 1 | [""car"", ""bed"", ""sun""]
[""abce"", ""abcd"", ""cdx""] | 2 | [""abcd"", ""abce"", ""cdx""]","class Solution {
    public String[] solution(String[] strings, int n) {
        String[] answer = {};
        return answer;
    }
}"
점프와 순간 이동,"N | result
--- | ---
5 | 2
6 | 2
5000 | 5","import java.util.*;

public class Solution {
    public int solution(int n) {
        int ans = 0;

        // [실행] 버튼을 누르면 출력 값을 볼 수 있습니다.
        System.out.println(""Hello Java"");

        return ans;
    }
}"
구명보트,"people | limit | return
--- | --- | ---
[70, 50, 80, 50] | 100 | 3
[70, 80, 50] | 100 | 3","class Solution {
    public int solution(int[] people, int limit) {
        int answer = 0;
        return answer;
    }
}"
귤 고르기,"k | tangerine | result
--- | --- | ---
6 | [1, 3, 2, 5, 4, 5, 2, 3] | 3
4 | [1, 3, 2, 5, 4, 5, 2, 3] | 2
2 | [1, 1, 1, 1, 2, 2, 2, 3] | 1","class Solution {
    public int solution(int k, int[] tangerine) {
        int answer = 0;
        return answer;
    }
}"
카드 뭉치,"cards1 | cards2 | goal | result
--- | --- | --- | ---
[""i"", ""drink"", ""water""] | [""want"", ""to""] | [""i"", ""want"", ""to"", ""drink"", ""water""] | ""Yes""
[""i"", ""water"", ""drink""] | [""want"", ""to""] | [""i"", ""want"", ""to"", ""drink"", ""water""] | ""No""","class Solution {
    public String solution(String[] cards1, String[] cards2, String[] goal) {
        String answer = """";
        return answer;
    }
}"
문자열 출력하기,,"import java.util.Scanner;

public class Solution {
    public static void main(String[] args) {
        Scanner sc = new Scanner(System.in);
        String a = sc.next();
    }
}"
[PCCE 기출문제] 3번 / 수 나누기,,"import java.util.Scanner;

public class Solution {
    public static void main(String[] args) {
        Scanner sc = new Scanner(System.in);
        int number = sc.nextInt();
        int answer = 0;
        
        for(int i=0; i<1; i++){
            answer += number % 100;
            number /= 100;
        }

        System.out.println(answer);
    }
}"
[PCCE 기출문제] 1번 / 문자 출력,,
멀리 뛰기,"n | result
--- | ---
4 | 5
3 | 3","class Solution {
    public long solution(int n) {
        long answer = 0;
        return answer;
    }
}"
N개의 최소공배수,"arr | result
--- | ---
[2,6,8,14] | 168
[1,2,3] | 6","class Solution {
    public int solution(int[] arr) {
        int answer = 0;
        return answer;
    }
}"
[1차] 비밀지도,"매개변수 | 값
--- | ---
n | 5
arr1 | [9, 20, 28, 18, 11]
arr2 | [30, 1, 21, 17, 28]
출력 | [""#####"",""# # #"", ""### #"", ""#  ##"", ""#####""]

매개변수 | 값
--- | ---
n | 6
arr1 | [46, 33, 33 ,22, 31, 50]
arr2 | [27 ,56, 19, 14, 14, 10]
출력 | [""######"", ""###  #"", ""##  ##"", "" #### "", "" #####"", ""### # ""]","class Solution {
    public String[] solution(int n, int[] arr1, int[] arr2) {
        String[] answer = {};
        return answer;
    }
}"
최빈값 구하기,"array | result
--- | ---
[1, 2, 3, 3, 3, 4] | 3
[1, 1, 2, 2] | -1
[1] | 1","class Solution {
    public int solution(int[] array) {
        int answer = 0;
        return answer;
    }
}"
OX퀴즈,"quiz | result
--- | ---
[""3 - 4 = -3"", ""5 + 6 = 11""] | [""X"", ""O""]
[""19 - 6 = 13"", ""5 + 66 = 71"", ""5 - 15 = 63"", ""3 - 1 = 2""] | [""O"", ""O"", ""X"", ""O""]","class Solution {
    public String[] solution(String[] quiz) {
        String[] answer = {};
        return answer;
    }
}"
연속 부분 수열 합의 개수,"elements | result
--- | ---
[7,9,1,1,4] | 18","class Solution {
    public int solution(int[] elements) {
        int answer = 0;
        return answer;
    }
}"
추억 점수,"name | yearning | photo | result
--- | --- | --- | ---
[""may"", ""kein"", ""kain"", ""radi""] | [5, 10, 1, 3] | [[""may"", ""kein"", ""kain"", ""radi""],[""may"", ""kein"", ""brin"", ""deny""], [""kon"", ""kain"", ""may"", ""coni""]] | [19, 15, 6]
[""kali"", ""mari"", ""don""] | [11, 1, 55] | [[""kali"", ""mari"", ""don""], [""pony"", ""tom"", ""teddy""], [""con"", ""mona"", ""don""]] | [67, 0, 55]
[""may"", ""kein"", ""kain"", ""radi""] | [5, 10, 1, 3] | [[""may""],[""kein"", ""deny"", ""may""], [""kon"", ""coni""]] | [5, 15, 0]","class Solution {
    public int[] solution(String[] name, int[] yearning, String[][] photo) {
        int[] answer = {};
        return answer;
    }
}"
영어 끝말잇기,"n | words | result
--- | --- | ---
3 | [""tank"", ""kick"", ""know"", ""wheel"", ""land"", ""dream"", ""mother"", ""robot"", ""tank""] | [3,3]
5 | [""hello"", ""observe"", ""effect"", ""take"", ""either"", ""recognize"", ""encourage"", ""ensure"", ""establish"", ""hang"", ""gather"", ""refer"", ""reference"", ""estimate"", ""executive""] | [0,0]
2 | [""hello"", ""one"", ""even"", ""never"", ""now"", ""world"", ""draw""] | [1,3]","class Solution {
    public int[] solution(int n, String[] words) {
        int[] answer = {};

        // [실행] 버튼을 누르면 출력 값을 볼 수 있습니다. 
        System.out.println(""Hello Java"");

        return answer;
    }
}"
예상 대진표,"N | A | B | answer
--- | --- | --- | ---
8 | 4 | 7 | 3","class Solution
{
    public int solution(int n, int a, int b)
    {
        int answer = 0;

        // [실행] 버튼을 누르면 출력 값을 볼 수 있습니다.
        System.out.println(""Hello Java"");

        return answer;
    }
}"
할인 행사,"want | number | discount | result
--- | --- | --- | ---
[""banana"", ""apple"", ""rice"", ""pork"", ""pot""] | [3, 2, 2, 2, 1] | [""chicken"", ""apple"", ""apple"", ""banana"", ""rice"", ""apple"", ""pork"", ""banana"", ""pork"", ""rice"", ""pot"", ""banana"", ""apple"", ""banana""] | 3
[""apple""] | [10] | [""banana"", ""banana"", ""banana"", ""banana"", ""banana"", ""banana"", ""banana"", ""banana"", ""banana"", ""banana""] | 0","class Solution {
    public int solution(String[] want, int[] number, String[] discount) {
        int answer = 0;
        return answer;
    }
}"
괄호 회전하기,"s | result
--- | ---
""[](){}"" | 3
""}]()[{"" | 2
""[)(]"" | 0
""}}}"" | 0

x | s를 왼쪽으로 x칸만큼 회전 | 올바른 괄호 문자열?
--- | --- | ---
0 | ""[](){}"" | O
1 | ""](){}["" | X
2 | ""(){}[]"" | O
3 | ""){}[]("" | X
4 | ""{}[]()"" | O
5 | ""}[](){"" | X

x | s를 왼쪽으로 x칸만큼 회전 | 올바른 괄호 문자열?
--- | --- | ---
0 | ""}]()[{"" | X
1 | ""]()[{}"" | X
2 | ""()[{}]"" | O
3 | "")[{}]("" | X
4 | ""[{}]()"" | O
5 | ""{}]()["" | X","class Solution {
    public int solution(String s) {
        int answer = -1;
        return answer;
    }
}"
n^2 배열 자르기,"n | left | right | result
--- | --- | --- | ---
3 | 2 | 5 | [3,2,2,3]
4 | 7 | 14 | [4,3,3,3,4,4,4,4]","class Solution {
    public int[] solution(int n, long left, long right) {
        int[] answer = {};
        return answer;
    }
}"
폰켓몬,"nums | result
--- | ---
[3,1,2,3] | 2
[3,3,3,2,2,4] | 3
[3,3,3,2,2,2] | 2","class Solution {
    public int solution(int[] nums) {
        int answer = 0;
        return answer;
    }
}"
의상,"종류 | 이름
--- | ---
얼굴 | 동그란 안경, 검정 선글라스
상의 | 파란색 티셔츠
하의 | 청바지
겉옷 | 긴 코트

clothes | return
--- | ---
[[""yellow_hat"", ""headgear""], [""blue_sunglasses"", ""eyewear""], [""green_turban"", ""headgear""]] | 5
[[""crow_mask"", ""face""], [""blue_sunglasses"", ""face""], [""smoky_makeup"", ""face""]] | 3","class Solution {
    public int solution(String[][] clothes) {
        int answer = 0;
        return answer;
    }
}"
