문제제목,입출력 예,자바파일
[1차] 캐시,"캐시크기(cacheSize) | 도시이름(cities) | 실행시간
--- | --- | ---
3 | [""Jeju"", ""Pangyo"", ""Seoul"", ""NewYork"", ""LA"", ""Jeju"", ""Pangyo"", ""Seoul"", ""NewYork"", ""LA""] | 50
3 | [""Jeju"", ""Pangyo"", ""Seoul"", ""Jeju"", ""Pangyo"", ""Seoul"", ""Jeju"", ""Pangyo"", ""Seoul""] | 21
2 | [""Jeju"", ""Pangyo"", ""Seoul"", ""NewYork"", ""LA"", ""SanFrancisco"", ""Seoul"", ""Rome"", ""Paris"", ""Jeju"", ""NewYork"", ""Rome""] | 60
5 | [""Jeju"", ""Pangyo"", ""Seoul"", ""NewYork"", ""LA"", ""SanFrancisco"", ""Seoul"", ""Rome"", ""Paris"", ""Jeju"", ""NewYork"", ""Rome""] | 52
2 | [""Jeju"", ""Pangyo"", ""NewYork"", ""newyork""] | 16
0 | [""Jeju"", ""Pangyo"", ""Seoul"", ""NewYork"", ""LA""] | 25","class Solution {
    public int solution(int cacheSize, String[] cities) {
        int answer = 0;
        return answer;
    }
}"
전화번호 목록,"phone_book | return
--- | ---
[""119"", ""97674223"", ""1195524421""] | false
[""123"",""456"",""789""] | true
[""12"",""123"",""1235"",""567"",""88""] | false","class Solution {
    public boolean solution(String[] phone_book) {
        boolean answer = true;
        return answer;
    }
}"
프로세스,"priorities | location | return
--- | --- | ---
[2, 1, 3, 2] | 2 | 1
[1, 1, 9, 1, 1, 1] | 0 | 5","class Solution {
    public int solution(int[] priorities, int location) {
        int answer = 0;
        return answer;
    }
}"
롤케이크 자르기,"topping | result
--- | ---
[1, 2, 1, 3, 1, 4, 1, 2] | 2
[1, 2, 3, 1, 4] | 0","class Solution {
    public int solution(int[] topping) {
        int answer = -1;
        return answer;
    }
}"
[PCCE 기출문제] 6번 / 물 부족,"storage | usage | change | result
--- | --- | --- | ---
5141 | 500 | [10, -10, 10, -10, 10, -10, 10, -10, 10, -10] | -1
1000 | 2000 | [-10, 25, -33] | 1

n개월 뒤 | 0 (이번 달) | 1 (다음 달) | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9
--- | --- | --- | --- | --- | --- | --- | --- | --- | --- | ---
월 별 물 사용량 | 550 | 495 | 544 | 490 | 539 | 485 | 533 | 479 | 526 | 474
총 물 사용량 | 550 | 1045 | 1589 | 2079 | 2618 | 3103 | 3636 | 4115 | 4641 | 5115","class Solution {
    public int solution(int storage, int usage, int[] change) {
        int total_usage = 0;
        for(int i=0; i<change.length; i++){
            usage = total_usage * change[i] / 100;
            total_usage += usage;
            if(total_usage > storage){
                return i;
            }
        }
        return -1;
    }
}"
덧칠하기,"n | m | section | result
--- | --- | --- | ---
8 | 4 | [2, 3, 6] | 2
5 | 4 | [1, 3] | 1
4 | 1 | [1, 2, 3, 4] | 4","class Solution {
    public int solution(int n, int m, int[] section) {
        int answer = 0;
        return answer;
    }
}"
게임 맵 최단거리,"maps | answer
--- | ---
[[1,0,1,1,1],[1,0,1,0,1],[1,0,1,1,1],[1,1,1,0,1],[0,0,0,0,1]] | 11
[[1,0,1,1,1],[1,0,1,0,1],[1,0,1,1,1],[1,1,1,0,0],[0,0,0,0,1]] | -1","class Solution {
    public int solution(int[][] maps) {
        int answer = 0;
        return answer;
    }
}"
타겟 넘버,"numbers | target | return
--- | --- | ---
[1, 1, 1, 1, 1] | 3 | 5
[4, 1, 2, 1] | 4 | 2","class Solution {
    public int solution(int[] numbers, int target) {
        int answer = 0;
        return answer;
    }
}"
튜플,"s | result
--- | ---
""{{2},{2,1},{2,1,3},{2,1,3,4}}"" | [2, 1, 3, 4]
""{{1,2,3},{2,1},{1,2,4,3},{2}}"" | [2, 1, 3, 4]
""{{20,111},{111}}"" | [111, 20]
""{{123}}"" | [123]
""{{4,2,3},{3},{2,3,4,1},{2,3}}"" | [3, 2, 4, 1]","class Solution {
    public int[] solution(String s) {
        int[] answer = {};
        return answer;
    }
}"
과일 장수,"k | m | score | result
--- | --- | --- | ---
3 | 4 | [1, 2, 3, 1, 2, 3, 1] | 8
4 | 3 | [4, 1, 2, 2, 4, 4, 4, 4, 1, 2, 4, 2] | 33

사과 상자 | 가격
--- | ---
[1, 1, 2] | 1 x 3 = 3
[2, 2, 2] | 2 x 3 = 6
[4, 4, 4] | 4 x 3 = 12
[4, 4, 4] | 4 x 3 = 12","class Solution {
    public int solution(int k, int m, int[] score) {
        int answer = 0;
        return answer;
    }
}"
[PCCE 기출문제] 9번 / 지폐 접기,"wallet | bill | result
--- | --- | ---
[30, 15] | [26, 17] | 1
[50, 50] | [100, 241] | 4","class Solution {
    public int solution(int[] wallet, int[] bill) {
        int answer = 0;
        return answer;
    }
}"
소수 찾기,"n | result
--- | ---
10 | 4
5 | 3","class Solution {
    public int solution(int n) {
        int answer = 0;
        return answer;
    }
}"
소수 만들기,"nums | result
--- | ---
[1,2,3,4] | 1
[1,2,7,6,4] | 4","class Solution {
    public int solution(int[] nums) {
        int answer = -1;

        // [실행] 버튼을 누르면 출력 값을 볼 수 있습니다.
        System.out.println(""Hello Java"");

        return answer;
    }
}"
[1차] 뉴스 클러스터링,"str1 | str2 | answer
--- | --- | ---
FRANCE | french | 16384
handshake | shake hands | 65536
aa1+aa2 | AAAA12 | 43690
E=M*C^2 | e=m*c^2 | 65536","class Solution {
    public int solution(String str1, String str2) {
        int answer = 0;
        return answer;
    }
}"
정수 삼각형,"triangle | result
--- | ---
[[7], [3, 8], [8, 1, 0], [2, 7, 4, 4], [4, 5, 2, 6, 5]] | 30","class Solution {
    public int solution(int[][] triangle) {
        int answer = 0;
        return answer;
    }
}"
네트워크,"n | computers | return
--- | --- | ---
3 | [[1, 1, 0], [1, 1, 0], [0, 0, 1]] | 2
3 | [[1, 1, 0], [1, 1, 1], [0, 1, 1]] | 1","class Solution {
    public int solution(int n, int[][] computers) {
        int answer = 0;
        return answer;
    }
}"
방문 길이,"dirs | answer
--- | ---
""ULURRDLLU"" | 7
""LULLLLLLU"" | 7","class Solution {
    public int solution(String dirs) {
        int answer = 0;
        return answer;
    }
}"
모음사전,"word | result
--- | ---
""AAAAE"" | 6
""AAAE"" | 10
""I"" | 1563
""EIO"" | 1189","class Solution {
    public int solution(String word) {
        int answer = 0;
        return answer;
    }
}"
안전지대,"board | result
--- | ---
[[0, 0, 0, 0, 0], [0, 0, 0, 0, 0], [0, 0, 0, 0, 0], [0, 0, 1, 0, 0], [0, 0, 0, 0, 0]] | 16
[[0, 0, 0, 0, 0], [0, 0, 0, 0, 0], [0, 0, 0, 0, 0], [0, 0, 1, 1, 0], [0, 0, 0, 0, 0]] | 13
[[1, 1, 1, 1, 1, 1], [1, 1, 1, 1, 1, 1], [1, 1, 1, 1, 1, 1], [1, 1, 1, 1, 1, 1], [1, 1, 1, 1, 1, 1], [1, 1, 1, 1, 1, 1]] | 0","class Solution {
    public int solution(int[][] board) {
        int answer = 0;
        return answer;
    }
}"
옹알이 (2),"babbling | result
--- | ---
[""aya"", ""yee"", ""u"", ""maa""] | 1
[""ayaye"", ""uuu"", ""yeye"", ""yemawoo"", ""ayaayaa""] | 2","class Solution {
    public int solution(String[] babbling) {
        int answer = 0;
        return answer;
    }
}"
뒤에 있는 큰 수 찾기,"numbers | result
--- | ---
[2, 3, 3, 5] | [3, 5, 5, -1]
[9, 1, 5, 3, 6, 2] | [-1, 5, 6, 6, -1, -1]","class Solution {
    public int[] solution(int[] numbers) {
        int[] answer = {};
        return answer;
    }
}"
더 맵게,"scoville | K | return
--- | --- | ---
[1, 2, 3, 9, 10, 12] | 7 | 2","class Solution {
    public int solution(int[] scoville, int K) {
        int answer = 0;
        return answer;
    }
}"
이중우선순위큐,"명령어 | 수신 탑(높이)
--- | ---
I 숫자 | 큐에 주어진 숫자를 삽입합니다.
D 1 | 큐에서 최댓값을 삭제합니다.
D -1 | 큐에서 최솟값을 삭제합니다.

operations | return
--- | ---
[""I 16"", ""I -5643"", ""D -1"", ""D 1"", ""D 1"", ""I 123"", ""D -1""] | [0,0]
[""I -45"", ""I 653"", ""D 1"", ""I -642"", ""I 45"", ""I 97"", ""D 1"", ""D -1"", ""I 333""] | [333, -45]","class Solution {
    public int[] solution(String[] operations) {
        int[] answer = {};
        return answer;
    }
}"
실패율,"N | stages | result
--- | --- | ---
5 | [2, 1, 2, 6, 2, 4, 3, 3] | [3,4,2,1,5]
4 | [4,4,4,4,4] | [4,1,2,3]","class Solution {
    public int[] solution(int N, int[] stages) {
        int[] answer = {};
        return answer;
    }
}"
단어 변환,"begin | target | words | return
--- | --- | --- | ---
""hit"" | ""cog"" | [""hot"", ""dot"", ""dog"", ""lot"", ""log"", ""cog""] | 4
""hit"" | ""cog"" | [""hot"", ""dot"", ""dog"", ""lot"", ""log""] | 0","class Solution {
    public int solution(String begin, String target, String[] words) {
        int answer = 0;
        return answer;
    }
}"
k진수에서 소수 개수 구하기,"n | k | result
--- | --- | ---
437674 | 3 | 3
110011 | 10 | 2","class Solution {
    public int solution(int n, int k) {
        int answer = -1;
        return answer;
    }
}"
분수의 덧셈,"numer1 | denom1 | numer2 | denom2 | result
--- | --- | --- | --- | ---
1 | 2 | 3 | 4 | [5, 4]
9 | 2 | 1 | 3 | [29, 6]","class Solution {
    public int[] solution(int numer1, int denom1, int numer2, int denom2) {
        int[] answer = {};
        return answer;
    }
}"
주사위 게임 3,"a | b | c | d | result
--- | --- | --- | --- | ---
2 | 2 | 2 | 2 | 2222
4 | 1 | 4 | 4 | 1681
6 | 3 | 3 | 6 | 27
2 | 5 | 2 | 6 | 30
6 | 4 | 2 | 5 | 2","class Solution {
    public int solution(int a, int b, int c, int d) {
        int answer = 0;
        return answer;
    }
}"
[PCCE 기출문제] 7번 / 버스,"seat | passengers | result
--- | --- | ---
5 | [[""On"", ""On"", ""On""], [""Off"", ""On"", ""-""], [""Off"", ""-"", ""-""]] | 3
10 | [[""On"", ""On"", ""On"", ""On"", ""On"", ""On"", ""On"", ""On"", ""-"", ""-""], [""On"", ""On"", ""Off"", ""Off"", ""Off"", ""On"", ""On"", ""-"", ""-"", ""-""], [""On"", ""On"", ""On"", ""Off"", ""On"", ""On"", ""On"", ""Off"", ""Off"", ""Off""], [""On"", ""On"", ""Off"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-""]] | 0",
땅따먹기,"land | answer
--- | ---
[[1,2,3,5],[5,6,7,8],[4,3,2,1]] | 16","class Solution {
    int solution(int[][] land) {
        int answer = 0;

        // [실행] 버튼을 누르면 출력 값을 볼 수 있습니다.
        System.out.println(""Hello Java"");

        return answer;
    }
}"
야근 지수,"works | n | result
--- | --- | ---
[4, 3, 3] | 4 | 12
[2, 1, 2] | 1 | 6
[1,1] | 3 | 0","class Solution {
    public long solution(int n, int[] works) {
        long answer = 0;
        return answer;
    }
}"
[3차] 압축,"색인 번호 | 1 | 2 | 3 | ... | 24 | 25 | 26
--- | --- | --- | --- | --- | --- | --- | ---
단어 | A | B | C | ... | X | Y | Z

현재 입력(w) | 다음 글자(c) | 출력 | 사전 추가(w+c)
--- | --- | --- | ---
K | A | 11 | 27: KA
A | K | 1 | 28: AK
KA | O | 27 | 29: KAO
O |  | 15 | 

현재 입력(w) | 다음 글자(c) | 출력 | 사전 추가(w+c)
--- | --- | --- | ---
T | O | 20 | 27: TO
O | B | 15 | 28: OB
B | E | 2 | 29: BE
E | O | 5 | 30: EO
O | R | 15 | 31: OR
R | N | 18 | 32: RN
N | O | 14 | 33: NO
O | T | 15 | 34: OT
T | T | 20 | 35: TT
TO | B | 27 | 36: TOB
BE | O | 29 | 37: BEO
OR | T | 31 | 38: ORT
TOB | E | 36 | 39: TOBE
EO | R | 30 | 40: EOR
RN | O | 32 | 41: RNO
OT |  | 34 | 

msg | answer
--- | ---
KAKAO | [11, 1, 27, 15]
TOBEORNOTTOBEORTOBEORNOT | [20, 15, 2, 5, 15, 18, 14, 15, 20, 27, 29, 31, 36, 30, 32, 34]
ABABABABABABABAB | [1, 2, 27, 29, 28, 31, 30]","class Solution {
    public int[] solution(String msg) {
        int[] answer = {};
        return answer;
    }
}"
[3차] n진수 게임,"n | t | m | p | result
--- | --- | --- | --- | ---
2 | 4 | 2 | 1 | ""0111""
16 | 16 | 2 | 1 | ""02468ACE11111111""
16 | 16 | 2 | 2 | ""13579BDF01234567""","class Solution {
    public String solution(int n, int t, int m, int p) {
        String answer = """";
        return answer;
    }
}"
주식가격,"prices | return
--- | ---
[1, 2, 3, 2, 3] | [4, 3, 1, 1, 0]","class Solution {
    public int[] solution(int[] prices) {
        int[] answer = {};
        return answer;
    }
}"
겹치는 선분의 길이,"lines | result
--- | ---
[[0, 1], [2, 5], [3, 9]] | 2
[[-1, 1], [1, 3], [3, 9]] | 0
[[0, 5], [3, 9], [1, 10]] | 8","class Solution {
    public int solution(int[][] lines) {
        int answer = 0;
        return answer;
    }
}"
택배상자,"order | result
--- | ---
[4, 3, 1, 2, 5] | 2
[5, 4, 3, 2, 1] | 5","class Solution {
    public int solution(int[] order) {
        int answer = 0;
        return answer;
    }
}"
숫자 변환하기,"x | y | n | result
--- | --- | --- | ---
10 | 40 | 5 | 2
10 | 40 | 30 | 1
2 | 5 | 4 | -1","class Solution {
    public int solution(int x, int y, int n) {
        int answer = 0;
        return answer;
    }
}"
등굣길,"m | n | puddles | return
--- | --- | --- | ---
4 | 3 | [[2, 2]] | 4","class Solution {
    public int solution(int m, int n, int[][] puddles) {
        int answer = 0;
        return answer;
    }
}"
스킬트리,"skill | skill_trees | return
--- | --- | ---
""CBD"" | [""BACDE"", ""CBADF"", ""AECB"", ""BDA""] | 2","class Solution {
    public int solution(String skill, String[] skill_trees) {
        int answer = -1;
        return answer;
    }
}"
주차 요금 계산,"기본 시간(분) | 기본 요금(원) | 단위 시간(분) | 단위 요금(원)
--- | --- | --- | ---
180 | 5000 | 10 | 600

시각(시:분) | 차량 번호 | 내역
--- | --- | ---
05:34 | 5961 | 입차
06:00 | 0000 | 입차
06:34 | 0000 | 출차
07:59 | 5961 | 출차
07:59 | 0148 | 입차
18:59 | 0000 | 입차
19:09 | 0148 | 출차
22:59 | 5961 | 입차
23:00 | 5961 | 출차

차량 번호 | 누적 주차 시간(분) | 주차 요금(원)
--- | --- | ---
0000 | 34 + 300 = 334 | 5000 +⌈(334 - 180) / 10⌉x 600 = 14600
0148 | 670 | 5000 +⌈(670 - 180) / 10⌉x 600 = 34400
5961 | 145 + 1 = 146 | 5000

fees | records | result
--- | --- | ---
[180, 5000, 10, 600] | [""05:34 5961 IN"", ""06:00 0000 IN"", ""06:34 0000 OUT"", ""07:59 5961 OUT"", ""07:59 0148 IN"", ""18:59 0000 IN"", ""19:09 0148 OUT"", ""22:59 5961 IN"", ""23:00 5961 OUT""] | [14600, 34400, 5000]
[120, 0, 60, 591] | [""16:00 3961 IN"",""16:00 0202 IN"",""18:00 3961 OUT"",""18:00 0202 OUT"",""23:58 3961 IN""] | [0, 591]
[1, 461, 1, 10] | [""00:00 1234 IN""] | [14841]

기본 시간(분) | 기본 요금(원) | 단위 시간(분) | 단위 요금(원)
--- | --- | --- | ---
120 | 0 | 60 | 591

시각(시:분) | 차량 번호 | 내역
--- | --- | ---
16:00 | 3961 | 입차
16:00 | 0202 | 입차
18:00 | 3961 | 출차
18:00 | 0202 | 출차
23:58 | 3961 | 입차

차량 번호 | 누적 주차 시간(분) | 주차 요금(원)
--- | --- | ---
0202 | 120 | 0
3961 | 120 + 1 = 121 | 0 +⌈(121 - 120) / 60⌉x 591 = 591

기본 시간(분) | 기본 요금(원) | 단위 시간(분) | 단위 요금(원)
--- | --- | --- | ---
1 | 461 | 1 | 10

시각(시:분) | 차량 번호 | 내역
--- | --- | ---
00:00 | 1234 | 입차

차량 번호 | 누적 주차 시간(분) | 주차 요금(원)
--- | --- | ---
1234 | 1439 | 461 +⌈(1439 - 1) / 1⌉x 10 = 14841","class Solution {
    public int[] solution(int[] fees, String[] records) {
        int[] answer = {};
        return answer;
    }
}"
