문제제목,입출력 예,자바파일
문자열안에 문자열,"str1 | str2 | result
--- | --- | ---
""ab6CDE443fgh22iJKlmn1o"" | ""6CD"" | 1
""ppprrrogrammers"" | ""pppp"" | 2
""AbcAbcA"" | ""AAA"" | 2","class Solution {
    public int solution(String str1, String str2) {
        int answer = 0;
        return answer;
    }
}"
제곱수 판별하기,"n | result
--- | ---
144 | 1
976 | 2","class Solution {
    public int solution(int n) {
        int answer = 0;
        return answer;
    }
}"
세균 증식,"n | t | result
--- | --- | ---
2 | 10 | 2048
7 | 15 | 229,376","class Solution {
    public int solution(int n, int t) {
        int answer = 0;
        return answer;
    }
}"
원소들의 곱과 합,"num_list | result
--- | ---
[3, 4, 5, 2, 1] | 1
[5, 7, 8, 3] | 0","class Solution {
    public int solution(int[] num_list) {
        int answer = 0;
        return answer;
    }
}"
flag에 따라 다른 값 반환하기,"a | b | flag | result
--- | --- | --- | ---
-4 | 7 | true | 3
-4 | 7 | false | -11","class Solution {
    public int solution(int a, int b, boolean flag) {
        int answer = 0;
        return answer;
    }
}"
더 크게 합치기,"a | b | result
--- | --- | ---
9 | 91 | 991
89 | 8 | 898","class Solution {
    public int solution(int a, int b) {
        int answer = 0;
        return answer;
    }
}"
문자열 곱하기,"my_string | k | result
--- | --- | ---
""string"" | 3 | ""stringstringstring""
""love"" | 10 | ""lovelovelovelovelovelovelovelovelovelove""","class Solution {
    public String solution(String my_string, int k) {
        String answer = """";
        return answer;
    }
}"
문자 리스트를 문자열로 변환하기,"arr | result
--- | ---
[""a"",""b"",""c""] | ""abc""","class Solution {
    public String solution(String[] arr) {
        String answer = """";
        return answer;
    }
}"
문자열 붙여서 출력하기,,"import java.util.Scanner;

public class Solution {
    public static void main(String[] args) {
        Scanner sc = new Scanner(System.in);
        String a = sc.next();
        String b = sc.next();
    }
}"
첫 번째로 나오는 음수,"num_list | result
--- | ---
[12, 4, 15, 46, 38, -2, 15] | 5
[13, 22, 53, 24, 15, 6] | -1","class Solution {
    public int solution(int[] num_list) {
        int answer = 0;
        return answer;
    }
}"
수 조작하기 1,"n | control | result
--- | --- | ---
0 | ""wsdawsdassw"" | -1","class Solution {
    public int solution(int n, String control) {
        int answer = 0;
        return answer;
    }
}"
문자열의 뒤의 n글자,"my_string | n | result
--- | --- | ---
""ProgrammerS123"" | 11 | ""grammerS123""
""He110W0r1d"" | 5 | ""W0r1d""","class Solution {
    public String solution(String my_string, int n) {
        String answer = """";
        return answer;
    }
}"
대문자로 바꾸기,"myString | result
--- | ---
""aBcDeFg"" | ""ABCDEFG""
""AAA"" | ""AAA""","class Solution {
    public String solution(String myString) {
        String answer = """";
        return answer;
    }
}"
n의 배수,"num | n | result
--- | --- | ---
98 | 2 | 1
34 | 3 | 0","class Solution {
    public int solution(int num, int n) {
        int answer = 0;
        return answer;
    }
}"
